iter	Passed	Remaining
984	122845	1870
985	122954	1745
986	123046	1620
987	123161	1495
988	123251	1370
989	123336	1245
990	123446	1121
991	123561	996
992	123752	872
993	123930	748
994	124074	623
995	124249	498
996	124420	374
997	124608	249
998	124771	124
999	124923	0
